sample name,peak location (cm^-1),temperature (Celsius),hours dehydrated,traverse direction,raypath direction,position (microns),area (cm^-2) or height (/cm),area/initial or height/initial,FTIR spectrum filename,
SC1-2,total H,800.0,43.0,b,c,-889.3,13.688,0.561,SC1-2-800C-43hr-b01.csv,
SC1-2,total H,800.0,43.0,b,c,-689.3,13.638,0.555,SC1-2-800C-43hr-b03.csv,
SC1-2,total H,800.0,43.0,b,c,-489.3,14.000,0.565,SC1-2-800C-43hr-b05.csv,
SC1-2,total H,800.0,43.0,b,c,-289.3,6.134,0.246,SC1-2-800C-43hr-b07.csv,
SC1-2,total H,800.0,43.0,b,c,-89.3,7.495,0.298,SC1-2-800C-43hr-b09.csv,
SC1-2,total H,800.0,43.0,b,c,110.7,8.209,0.324,SC1-2-800C-43hr-b11.csv,
SC1-2,total H,800.0,43.0,b,c,310.7,9.168,0.359,SC1-2-800C-43hr-b13.csv,
SC1-2,total H,800.0,43.0,b,c,510.7,9.292,0.361,SC1-2-800C-43hr-b15.csv,
SC1-2,total H,800.0,43.0,b,c,810.7,10.515,0.405,SC1-2-800C-43hr-b18.csv,
SC1-2,total H,800.0,43.0,c,b,-1355.7,13.490,0.599,SC1-2-800C-43hr-c00.csv,
SC1-2,total H,800.0,43.0,c,b,-1205.7,14.246,0.625,SC1-2-800C-43hr-c02.csv,
SC1-2,total H,800.0,43.0,c,b,-1005.7,6.525,0.282,SC1-2-800C-43hr-c04.csv,
SC1-2,total H,800.0,43.0,c,b,-805.7,7.727,0.330,SC1-2-800C-43hr-c06.csv,
SC1-2,total H,800.0,43.0,c,b,-605.7,8.656,0.364,SC1-2-800C-43hr-c08.csv,
SC1-2,total H,800.0,43.0,c,b,-405.7,9.078,0.376,SC1-2-800C-43hr-c10.csv,
SC1-2,total H,800.0,43.0,c,b,-205.7,8.563,0.350,SC1-2-800C-43hr-c12.csv,
SC1-2,total H,800.0,43.0,c,b,194.3,9.435,0.376,SC1-2-800C-43hr-c16.csv,
SC1-2,total H,800.0,43.0,c,b,394.3,9.767,0.384,SC1-2-800C-43hr-c18.csv,
SC1-2,total H,800.0,43.0,c,b,594.3,10.605,0.411,SC1-2-800C-43hr-c20.csv,
SC1-2,total H,800.0,43.0,c,b,794.3,11.730,0.449,SC1-2-800C-43hr-c22.csv,
SC1-2,total H,800.0,43.0,c,b,994.3,13.076,0.494,SC1-2-800C-43hr-c24.csv,
SC1-2,total H,800.0,43.0,c,b,1144.3,13.246,0.496,SC1-2-800C-43hr-c2526.csv,
SC1-2,total H,800.0,43.0,c,b,1355.3,13.340,0.493,SC1-2-800C-43hr-c27.csv,
SC1-2,total H,800.0,68.0,a,b,-1000.0,11.975,0.512,SC1-2-800C-68hr-a01.csv,
SC1-2,total H,800.0,68.0,a,b,-800.0,12.598,0.526,SC1-2-800C-68hr-a03.csv,
SC1-2,total H,800.0,68.0,a,b,-600.0,12.160,0.497,SC1-2-800C-68hr-a05.csv,
SC1-2,total H,800.0,68.0,a,b,-400.0,12.155,0.486,SC1-2-800C-68hr-a07.csv,
SC1-2,total H,800.0,68.0,a,b,-200.0,11.282,0.441,SC1-2-800C-68hr-a09.csv,
SC1-2,total H,800.0,68.0,a,b,0.0,9.857,0.378,SC1-2-800C-68hr-a11.csv,
SC1-2,total H,800.0,68.0,a,b,200.0,9.152,0.344,SC1-2-800C-68hr-a13.csv,
SC1-2,total H,800.0,68.0,a,b,400.0,8.348,0.307,SC1-2-800C-68hr-a15.csv,
SC1-2,total H,800.0,68.0,a,b,600.0,7.348,0.265,SC1-2-800C-68hr-a17.csv,
SC1-2,total H,800.0,68.0,a,b,800.0,7.179,0.254,SC1-2-800C-68hr-a19.csv,
SC1-2,total H,800.0,68.0,a,b,1000.0,6.471,0.225,SC1-2-800C-68hr-a21.csv,
SC1-2,total H,800.0,68.0,b,c,-889.3,15.678,0.642,SC1-2-800C-68hr-b01.csv,
SC1-2,total H,800.0,68.0,b,c,-689.3,13.202,0.537,SC1-2-800C-68hr-b03.csv,
