name,IGSN,Fo #,peak,Celsius,GPa ,fO2Buffer,fO2_log10bars,Experiment,orientation,hours,mechanism,log10D,log10Derror,maximum_val,log10D_estimated,residual_on_estimate
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,7,total,-10.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,7,total,-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,7,total,-11.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,a,8,total,-10.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,b,8,total,-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,c,8,total,-11.9,0.4,,,
,,,,,,,,,,,,,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,1,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,1,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,1,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,8,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,8,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,8,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,3,[Si],-10.7,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,3,[Si],-12,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,3,[Si],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,6,[Si],-10.7,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,6,[Si],-12,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,6,[Si],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,7,[Si],-10.7,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,7,[Si],-12,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,7,[Si],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,a,8,[Si],-10.7,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,b,8,[Si],-12,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,c,8,[Si],-11.9,0.3,,,
,,,,,,,,,,,,,,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,1,[Ti],-12.6,1,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,1,[Ti],-14,1,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,1,[Ti],-13.7,1,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,8,[Ti],-12.6,0.6,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,8,[Ti],-14,0.6,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,8,[Ti],-13.7,0.6,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,3,[Ti],-11,0.4,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,3,[Ti],-12.2,0.4,,,
