name,IGSN,microns,traverse,Fo,Li,MgO,Al,SiO2,P,CaO,Sc,Ti,V,Cr,MnO,FeO,Co,Ni,Cu,Zn
SC1-2,IEFERJAI4,726,a-axis,89.156,,47.096,,38.784,54.731,,4.208,40.074,2.413,99.377,0.148,10.211,134.792,2369,,72.258
SC1-2,IEFERJAI4,709,a-axis,89.009,,47.451,,38.784,46.334,,4.202,39.779,2.651,100.356,0.152,10.444,136.926,2401,,75.228
SC1-2,IEFERJAI4,692,a-axis,89.100,,47.130,,38.784,54.066,,4.191,40.615,2.540,100.263,0.147,10.277,137.012,2390,,73.342
SC1-2,IEFERJAI4,674,a-axis,89.042,,47.677,,38.784,52.970,,3.864,41.643,2.445,103.259,0.149,10.458,136.992,2390,,72.317
SC1-2,IEFERJAI4,657,a-axis,89.212,,47.257,,38.784,49.942,,3.965,41.347,2.620,101.058,0.149,10.185,137.680,2395,,73.678
SC1-2,IEFERJAI4,640,a-axis,88.952,,46.921,,38.784,49.084,,3.967,40.710,2.702,98.340,0.154,10.387,137.862,2377,,73.917
SC1-2,IEFERJAI4,622,a-axis,88.759,,46.828,,38.784,54.373,,3.826,39.761,2.635,102.545,0.154,10.571,138.415,2383,,75.281
SC1-2,IEFERJAI4,605,a-axis,89.032,,46.934,,38.784,43.048,,3.694,39.220,2.627,98.582,0.146,10.306,133.981,2387,,72.663
SC1-2,IEFERJAI4,588,a-axis,88.941,,47.224,,38.784,46.507,,4.049,40.709,2.593,100.504,0.152,10.466,136.181,2395,,72.995
SC1-2,IEFERJAI4,571,a-axis,88.941,,47.143,,38.784,48.353,,4.042,40.496,2.619,101.261,0.148,10.448,136.096,2373,,74.430
SC1-2,IEFERJAI4,553,a-axis,89.170,,46.283,,38.784,40.261,,4.012,38.884,2.530,96.631,0.149,10.020,136.289,2378,,71.197
SC1-2,IEFERJAI4,536,a-axis,89.020,,47.129,,38.784,48.620,,4.033,41.385,2.601,100.242,0.151,10.361,136.100,2365,,74.781
SC1-2,IEFERJAI4,519,a-axis,88.815,,46.685,,38.784,48.105,,4.014,40.579,2.666,99.838,0.152,10.479,137.472,2368,,75.217
SC1-2,IEFERJAI4,501,a-axis,88.872,,46.490,,38.784,46.329,,4.284,39.279,2.768,99.401,0.149,10.376,138.377,2388,,74.166
SC1-2,IEFERJAI4,484,a-axis,89.156,,47.394,,38.784,51.788,,4.017,42.214,2.683,99.239,0.148,10.275,134.573,2351,,71.807
SC1-2,IEFERJAI4,467,a-axis,88.838,,46.209,,38.784,43.179,,4.047,40.791,2.758,98.357,0.147,10.349,135.378,2347,,72.139
SC1-2,IEFERJAI4,450,a-axis,89.110,,47.987,,38.784,47.971,,4.186,42.598,2.479,100.887,0.150,10.453,138.028,2406,,73.119
SC1-2,IEFERJAI4,432,a-axis,88.885,,47.188,,38.784,42.933,,3.924,41.049,2.576,99.374,0.149,10.518,135.906,2349,,75.777
SC1-2,IEFERJAI4,415,a-axis,88.998,,46.674,,38.784,49.052,,3.929,40.843,2.518,100.925,0.149,10.285,135.829,2348,,71.316
SC1-2,IEFERJAI4,398,a-axis,89.009,,46.667,,38.784,49.891,,3.831,40.001,2.620,96.970,0.146,10.271,134.855,2339,,72.012
SC1-2,IEFERJAI4,380,a-axis,89.066,,46.838,,38.784,47.197,,4.047,39.241,2.644,96.888,0.149,10.249,133.026,2366,,73.418
SC1-2,IEFERJAI4,363,a-axis,89.381,,47.787,,38.784,47.826,,3.975,41.870,2.497,100.517,0.147,10.120,136.713,2382,,72.321
SC1-2,IEFERJAI4,346,a-axis,88.690,,46.475,,38.784,45.466,,4.056,40.782,2.580,97.404,0.146,10.564,134.341,2347,,71.152
SC1-2,IEFERJAI4,328,a-axis,88.861,,46.803,,38.784,41.250,,3.812,39.291,2.489,98.819,0.149,10.458,133.041,2341,,71.795
SC1-2,IEFERJAI4,311,a-axis,88.873,,47.127,,38.784,47.598,,3.872,40.159,2.436,96.635,0.148,10.517,136.342,2354,,74.196
SC1-2,IEFERJAI4,294,a-axis,89.054,,47.714,,38.784,52.493,,4.080,41.511,2.592,99.266,0.153,10.453,136.841,2333,,75.731
SC1-2,IEFERJAI4,277,a-axis,89.089,,46.488,,38.784,47.344,,3.971,39.673,2.563,95.125,0.146,10.149,131.498,2332,,70.685
SC1-2,IEFERJAI4,259,a-axis,89.289,,48.603,,38.784,44.955,,3.950,42.385,2.670,100.479,0.152,10.392,134.720,2413,,73.322
SC1-2,IEFERJAI4,242,a-axis,89.020,,47.071,,38.784,47.539,,3.934,40.694,2.422,97.185,0.152,10.348,136.283,2376,,73.601
SC1-2,IEFERJAI4,225,a-axis,89.146,,47.004,,38.784,47.643,,4.092,40.012,2.571,96.634,0.148,10.201,134.210,2327,,71.993
SC1-2,IEFERJAI4,207,a-axis,89.111,,46.589,,38.784,53.608,,3.967,39.130,2.519,97.104,0.148,10.147,132.563,2330,,70.888
SC1-2,IEFERJAI4,190,a-axis,89.302,,47.321,,38.784,49.048,,4.038,40.637,2.570,97.288,0.149,10.104,133.588,2341,,71.245
SC1-2,IEFERJAI4,173,a-axis,89.317,,47.580,,38.784,46.965,,4.206,39.229,2.527,99.794,0.148,10.144,134.962,2354,,75.034
SC1-2,IEFERJAI4,156,a-axis,89.134,,46.911,,38.784,47.829,,3.957,40.502,2.575,99.224,0.149,10.193,134.975,2362,,74.014
SC1-2,IEFERJAI4,138,a-axis,89.156,,46.807,,38.784,48.682,,3.821,40.122,2.426,98.028,0.150,10.148,131.865,2330,,73.697
SC1-2,IEFERJAI4,121,a-axis,89.111,,47.300,,38.784,49.424,,4.045,40.655,2.592,96.822,0.149,10.302,134.837,2343,,71.137
SC1-2,IEFERJAI4,104,a-axis,89.135,,46.874,,38.784,48.981,,4.341,39.157,2.665,98.556,0.149,10.184,134.189,2394,,72.567
SC1-2,IEFERJAI4,86,a-axis,89.054,,48.114,,38.784,47.110,,4.043,41.298,2.446,98.335,0.151,10.541,136.179,2375,,72.826
SC1-2,IEFERJAI4,69,a-axis,88.929,,46.607,,38.784,44.979,,4.123,40.055,2.625,99.502,0.149,10.342,133.432,2345,,69.885
SC1-2,IEFERJAI4,52,a-axis,89.020,,47.171,,38.784,49.514,,4.153,40.373,2.582,96.659,0.147,10.370,135.076,2360,,72.029
SC1-7,IEFERJAI9,1192,a-axis,88.5,,46.963,,40.792,53.662,,3.515,37.728,2.945,106.944,0.163,10.900,146.629,2556.919,,84.113
SC1-7,IEFERJAI9,1175,a-axis,88.1,,46.149,,40.792,57.507,,3.574,35.011,2.873,109.485,0.161,11.070,147.504,2592.110,,82.959
SC1-7,IEFERJAI9,1158,a-axis,88.3,,47.388,,40.792,66.772,,3.470,35.627,2.942,111.920,0.162,11.145,149.904,2672.621,,85.993
SC1-7,IEFERJAI9,1140,a-axis,88.3,,48.172,,40.792,57.374,,3.884,35.883,2.950,111.108,0.161,11.393,148.704,2616.938,,83.578
